title,actors
Anna and the King of Siam,Irene Dunne; Rex Harrison; Linda Darnell; Lee J. Cobb; Gale Sondergaard; Mikhail Rasumny; Dennis Hoey; Tito Renaldo; Richard Lyon
Anna Karenina,Greta Garbo; Fredric March; Freddie Bartholomew; Basil Rathbone; Maureen O'Sullivan; May Robson; Reginald Owen; Phoebe Foster; Reginald Denny
Jupiter's Darling,Esther Williams; Howard Keel; George Sanders; Marge Champion; Gower Champion; Richard Haydn; William Demarest; Norma Varden; Douglass Dumbrille
Neon City,Michael Ironside; Vanity; Lyle Alzado; Valerie Wildman; Nick Klar; Juliet Landau; Arsenio 'Sonny' Trinidad; Richard Sanders; Monte Markham
Battle for the Planet of the Apes,Roddy McDowall; Claude Akins; Natalie Tundy; John Huston; Severn Darden; Lew Ayres; Paul Williams; Austin Stoker; Noah Keen
Lonely Hearts,Beverly D'Angelo; Eric Roberts; Joanna Cassidy; Herta Ware; Bibi Besch; Rebecca Street; Miriam Flynn; Sharon Farrell; Ellen Geer; Charles Napier
Dying to Love You,Tim Matheson; Tracy Pollan; Christine Ebersole; Lee Garlington; Frances Lee McCain; Alan Blumenfeld; Jordan Bond; Margot Rose
Wings of the Apache,Nicolas Cage; Sean Young; Tommy Lee Jones; Dale Dye; Bryan Kestner; Illana Diamant; Mary Ellen Trainor; J.A. Preston; Peter Onorati; Marshall R. Teague
Bachelor Flat,Tuesday Weld; Terry-Thomas; Richard Beymer; Celeste Holm; Francesca Bellini; Howard McNear; Ann Del Guercio; Roxanne Arlen
Blind Date,Bruce Willis; Kim Basinger; John Larroquette; William Daniels; George Coe; Mark Blum; Phil Hartman; Stephanie Faracy
Date with an Angel,Michael E. Knight; Phoebe Cates; Emmanuelle Béart; David Dukes; Phillip Brock; Albert Macklin; Peter Kowanko; Bibi Besch
"Yours, Mine and Ours",Lucille Ball; Henry Fonda; Van Johnson; Tom Bosley; Louise Troy; Sidney Miller; Nancy Howard; Walter Brooke; Tim Matheson
April in Paris,Doris Day; Ray Bolger; Claude Dauphin; Eve Miller; George Givot; Paul Harvey; Herbert Farjeon; John Alvin
The Eagle,Rodolfo Valentino; Vilma Banky; Louise Dresser; Albert Conti; James A. Marcus; George Nichols; Carrie Clark Ward
Strategic Air Commando,James Stewart; June Allyson; Frank Lovejoy; Barry Sullivan; Alex Nicol; Bruce Bennett; Jay C. Flippen; James Millican; James Bell; Rosemary DeCamp
Arachnophobia,Jeff Daniels; Julian Sands; Stuart Pankin; John Goodman; Harley Jane Kozak; Brian McNamara; Mark L. Taylor; Henry Jones
Air Force,John Garfield; John Ridgely; Harry Carey; Gig Young; Arthur Kennedy; Charles Drake; George Tobias; Ward Wood; Ray Montgomery
Arch of Triumph,Ingrid Bergman; Charles Boyer; Charles Laughton; Louis Calhern; Ruth Warrick; Roman Bohnen; J. Edward Bromberg; Ruth Nelson; Stephen Bekassy
Spitfire,Katharine Hepburn; Robert Young; Ralph Bellamy; Martha Sleeper; Louis Mason; Sara Haden; Virginia Howell; Sidney Toler; Will Geer
The Argonauts,Todd Armstrong; Nancy Kovack; Gary Raymond; Laurence Naismith; Niall MacGinnis; Michael Gwynn; Douglas Wilmer; Jack Gwillim; Honor Blackman
A Dry White Season,Donald Sutherland; Susan Sarandon; Marlon Brando; Janet Suzman; Winston Ntshona; Zakes Mokae; Jürgen Prochnow; Thoko Ntshinga; Leonard Maguire
Mean Dog Blues,Gregg Henry; Kay Lenz; George Kennedy; Scatman Crothers; Tina Louise; Felton Perry; Gregory Sierra; James Wainwright; William Windom
Gun Glory,Stewart Granger; Rhonda Fleming; Steve Rowland; James Gregory; Chill Wills; Jacques Aubuchon; Arch Johnson
